Turn 1, Prize = Life 30 min
Turn 1777, Prize = Hammer 3X
Turn 1778, Prize = Life 30 min
Turn 1779, Prize = Gem 35
Turn 1780, Prize = Coin 750
Turn 1781, Prize = Hammer 1X
Turn 1782, Prize = Hammer 1X
Turn 1783, Prize = Life 30 min
Turn 1784, Prize = Brush 3X
Turn 1785, Prize = Hammer 1X
Turn 1786, Prize = Brush 1X
Turn 1787, Prize = Brush 3X
Turn 1788, Prize = Hammer 1X
Turn 1789, Prize = Hammer 1X
Turn 1790, Prize = Coin 750
Turn 1791, Prize = Brush 1X
Turn 1792, Prize = Brush 3X
Turn 1793, Prize = Hammer 1X
Turn 1794, Prize = Life 30 min
Turn 1795, Prize = Hammer 1X
Turn 1796, Prize = Life 30 min
Turn 1797, Prize = Life 30 min
Turn 1798, Prize = Life 30 min
Turn 1799, Prize = Brush 3X
Turn 1800, Prize = Gem 35
Turn 1801, Prize = Hammer 1X
Turn 1802, Prize = Hammer 3X
Turn 1803, Prize = Life 30 min
Turn 1804, Prize = Coin 750
Turn 1805, Prize = Hammer 1X
Turn 1806, Prize = Brush 1X
Turn 1807, Prize = Coin 750
Turn 1808, Prize = Life 30 min
Turn 1809, Prize = Hammer 1X
Turn 1810, Prize = Brush 3X
Turn 1811, Prize = Brush 1X
Turn 1812, Prize = Brush 3X
Turn 1813, Prize = Life 30 min
Turn 1814, Prize = Brush 1X
Turn 1815, Prize = Life 30 min
Turn 1816, Prize = Brush 3X
Turn 1817, Prize = Life 30 min
Turn 1818, Prize = Hammer 1X
Turn 1819, Prize = Life 30 min
Turn 1820, Prize = Life 30 min
Turn 1821, Prize = Hammer 1X
Turn 1822, Prize = Hammer 1X
Turn 1823, Prize = Life 30 min
Turn 1824, Prize = Brush 1X
Turn 1825, Prize = Hammer 1X
Turn 1826, Prize = Life 30 min
Turn 1827, Prize = Hammer 3X
Turn 1828, Prize = Life 30 min
Turn 1829, Prize = Brush 1X
Turn 1830, Prize = Brush 1X
Turn 1831, Prize = Hammer 1X
Turn 1832, Prize = Life 30 min
Turn 1833, Prize = Brush 3X
Turn 1834, Prize = Gem 35
Turn 1835, Prize = Gem 35
Turn 1836, Prize = Hammer 1X
Turn 1837, Prize = Brush 3X
Turn 1838, Prize = Life 30 min
Turn 1839, Prize = Brush 1X
Turn 1840, Prize = Hammer 1X
Turn 1841, Prize = Brush 1X
Turn 1842, Prize = Life 30 min
Turn 1843, Prize = Brush 1X
Turn 1844, Prize = Brush 1X
Turn 1845, Prize = Life 30 min
Turn 1846, Prize = Life 30 min
Turn 1847, Prize = Hammer 1X
Turn 1848, Prize = Brush 1X
Turn 1849, Prize = Life 30 min
Turn 1850, Prize = Brush 1X
Turn 1851, Prize = Hammer 1X
Turn 1852, Prize = Brush 1X
Turn 1853, Prize = Gem 35
Turn 1854, Prize = Gem 35
Turn 1855, Prize = Hammer 1X
Turn 1856, Prize = Hammer 1X
Turn 1857, Prize = Brush 1X
Turn 1858, Prize = Hammer 1X
Turn 1859, Prize = Brush 1X
Turn 1860, Prize = Brush 1X
Turn 1861, Prize = Hammer 1X
Turn 1862, Prize = Gem 75
Turn 1863, Prize = Hammer 1X
Turn 1864, Prize = Brush 3X
Turn 1865, Prize = Gem 75
Turn 1866, Prize = Brush 1X
Turn 1867, Prize = Life 30 min
Turn 1868, Prize = Hammer 1X
Turn 1869, Prize = Hammer 1X
Turn 1870, Prize = Hammer 3X
Turn 1871, Prize = Life 30 min
Turn 1872, Prize = Gem 35
Turn 1873, Prize = Life 30 min
Turn 1874, Prize = Life 30 min
Turn 1875, Prize = Brush 3X
Turn 1876, Prize = Coin 750
Turn 1877, Prize = Hammer 3X
Turn 1878, Prize = Life 30 min
Turn 1879, Prize = Hammer 3X
Turn 1880, Prize = Life 30 min
Turn 1881, Prize = Brush 1X
Turn 1882, Prize = Hammer 1X
Turn 1883, Prize = Coin 750
Turn 1884, Prize = Life 30 min
Turn 1885, Prize = Gem 35
Turn 1886, Prize = Hammer 1X
Turn 1887, Prize = Coin 750
Turn 1888, Prize = Gem 35
Turn 1889, Prize = Life 30 min
Turn 1890, Prize = Brush 3X
Turn 1891, Prize = Life 30 min
Turn 1892, Prize = Hammer 1X
Turn 1893, Prize = Hammer 1X
Turn 1894, Prize = Brush 1X
Turn 1895, Prize = Brush 1X
Turn 1896, Prize = Hammer 3X
Turn 1897, Prize = Life 30 min
Turn 1898, Prize = Brush 1X
Turn 1899, Prize = Life 30 min
Turn 1900, Prize = Hammer 1X
Turn 1901, Prize = Life 30 min
Turn 1902, Prize = Gem 75
Turn 1903, Prize = Brush 1X
Turn 1904, Prize = Life 30 min
Turn 1905, Prize = Hammer 1X
Turn 1906, Prize = Hammer 1X
Turn 1907, Prize = Hammer 1X
Turn 1908, Prize = Hammer 3X
Turn 1909, Prize = Hammer 1X
Turn 1910, Prize = Gem 75
Turn 1911, Prize = Brush 1X
Turn 1912, Prize = Life 30 min
Turn 1913, Prize = Life 30 min
Turn 1914, Prize = Hammer 1X
Turn 1915, Prize = Gem 35
Turn 1916, Prize = Gem 35
Turn 1917, Prize = Hammer 3X
Turn 1918, Prize = Hammer 1X
Turn 1919, Prize = Hammer 1X
Turn 1920, Prize = Brush 1X
Turn 1921, Prize = Hammer 1X
Turn 1922, Prize = Gem 35
Turn 1923, Prize = Brush 3X
Turn 1924, Prize = Hammer 1X
Turn 1925, Prize = Brush 3X
Turn 1926, Prize = Life 30 min
Turn 1927, Prize = Brush 1X
Turn 1928, Prize = Brush 3X
Turn 1929, Prize = Brush 3X
Turn 1930, Prize = Life 30 min
Turn 1931, Prize = Brush 1X
Turn 1932, Prize = Brush 1X
Turn 1933, Prize = Gem 35
Turn 1934, Prize = Hammer 3X
Turn 1935, Prize = Coin 750
Turn 1936, Prize = Brush 1X
Turn 1937, Prize = Hammer 3X
Turn 1938, Prize = Life 30 min
Turn 1939, Prize = Life 30 min
Turn 1940, Prize = Coin 750
Turn 1941, Prize = Hammer 3X
Turn 1942, Prize = Life 30 min
Turn 1943, Prize = Life 30 min
Turn 1944, Prize = Brush 3X
Turn 1945, Prize = Life 30 min
Turn 1946, Prize = Hammer 3X
Turn 1947, Prize = Brush 3X
Turn 1948, Prize = Brush 3X
Turn 1949, Prize = Coin 750
Turn 1950, Prize = Brush 3X
Turn 1951, Prize = Brush 3X
Turn 1952, Prize = Brush 1X
Turn 1953, Prize = Gem 35
Turn 1954, Prize = Brush 1X
Turn 1955, Prize = Hammer 1X
Turn 1956, Prize = Hammer 3X
Turn 1957, Prize = Life 30 min
Turn 1958, Prize = Life 30 min
Turn 1959, Prize = Brush 1X
Turn 1960, Prize = Brush 1X
Turn 1961, Prize = Hammer 1X
Turn 1962, Prize = Life 30 min
Turn 1963, Prize = Gem 35
Turn 1964, Prize = Hammer 1X
Turn 1965, Prize = Hammer 1X
Turn 1966, Prize = Life 30 min
Turn 1967, Prize = Brush 3X
Turn 1968, Prize = Life 30 min
Turn 1969, Prize = Brush 1X
Turn 1970, Prize = Brush 3X
Turn 1971, Prize = Hammer 3X
Turn 1972, Prize = Brush 1X
Turn 1973, Prize = Gem 35
Turn 1974, Prize = Hammer 1X
Turn 1975, Prize = Hammer 1X
Turn 1976, Prize = Hammer 3X
Turn 1977, Prize = Gem 75
Turn 1978, Prize = Hammer 1X
Turn 1979, Prize = Gem 75
Turn 1980, Prize = Brush 1X
Turn 1981, Prize = Brush 3X
Turn 1982, Prize = Hammer 1X
Turn 1983, Prize = Hammer 1X
Turn 1984, Prize = Hammer 3X
Turn 1985, Prize = Brush 1X
Turn 1986, Prize = Life 30 min
Turn 1987, Prize = Hammer 1X
Turn 1988, Prize = Gem 75
Turn 1989, Prize = Hammer 1X
Turn 1990, Prize = Life 30 min
Turn 1991, Prize = Brush 1X
Turn 1992, Prize = Life 30 min
Turn 1993, Prize = Life 30 min
Turn 1994, Prize = Hammer 1X
Turn 1995, Prize = Brush 1X
Turn 1996, Prize = Brush 1X
Turn 1997, Prize = Brush 1X
Turn 1998, Prize = Hammer 1X
Turn 1999, Prize = Gem 35
Turn 2000, Prize = Gem 35
Turn 2001, Prize = Brush 1X
Turn 2002, Prize = Hammer 1X
Turn 2003, Prize = Brush 3X
Turn 2004, Prize = Brush 1X
Turn 2005, Prize = Gem 35
Turn 2006, Prize = Hammer 3X
Turn 2007, Prize = Hammer 1X
Turn 2008, Prize = Life 30 min
Turn 2009, Prize = Brush 1X
Turn 2010, Prize = Coin 750
Turn 2011, Prize = Brush 1X
Turn 2012, Prize = Brush 1X
Turn 2013, Prize = Brush 1X
Turn 2014, Prize = Brush 1X
Turn 2015, Prize = Brush 3X
Turn 2016, Prize = Hammer 1X
Turn 2017, Prize = Coin 750
Turn 2018, Prize = Brush 3X
Turn 2019, Prize = Brush 1X
Turn 2020, Prize = Gem 75
Turn 2021, Prize = Gem 35
Turn 2022, Prize = Brush 3X
Turn 2023, Prize = Hammer 3X
Turn 2024, Prize = Brush 1X
Turn 2025, Prize = Brush 1X
Turn 2026, Prize = Life 30 min
Turn 2027, Prize = Brush 1X
Turn 2028, Prize = Life 30 min
Turn 2029, Prize = Life 30 min
Turn 2030, Prize = Brush 1X
Turn 2031, Prize = Hammer 3X
Turn 2032, Prize = Brush 1X
Turn 2033, Prize = Brush 1X
Turn 2034, Prize = Brush 1X
Turn 2035, Prize = Hammer 3X
Turn 2036, Prize = Brush 1X
Turn 2037, Prize = Life 30 min
Turn 2038, Prize = Life 30 min
Turn 2039, Prize = Brush 1X
Turn 2040, Prize = Brush 1X
Turn 2041, Prize = Hammer 3X
Turn 2042, Prize = Gem 75
Turn 2043, Prize = Hammer 3X
Turn 2044, Prize = Life 30 min
Turn 2045, Prize = Life 30 min
Turn 2046, Prize = Life 30 min
Turn 2047, Prize = Life 30 min
Turn 2048, Prize = Brush 1X
Turn 2049, Prize = Brush 1X
Turn 2050, Prize = Gem 35
Turn 2051, Prize = Brush 1X
Turn 2052, Prize = Life 30 min
Turn 2053, Prize = Hammer 1X
Turn 2054, Prize = Brush 1X
Turn 2055, Prize = Hammer 1X
Turn 2056, Prize = Hammer 3X
Turn 2057, Prize = Brush 1X
Turn 2058, Prize = Hammer 1X
Turn 2059, Prize = Hammer 3X
Turn 2060, Prize = Brush 3X
Turn 2061, Prize = Brush 3X
Turn 2062, Prize = Coin 750
Turn 2063, Prize = Life 30 min
Turn 2064, Prize = Brush 1X
Turn 2065, Prize = Life 30 min
Turn 2066, Prize = Hammer 3X
Turn 2067, Prize = Hammer 1X
Turn 2068, Prize = Life 30 min
Turn 2069, Prize = Coin 750
Turn 2070, Prize = Brush 1X
Turn 2071, Prize = Hammer 1X
Turn 2072, Prize = Hammer 1X
Turn 2073, Prize = Hammer 3X
Turn 2074, Prize = Hammer 1X
Turn 2075, Prize = Brush 1X
Turn 2076, Prize = Gem 35
Turn 2077, Prize = Coin 750
Turn 2078, Prize = Brush 1X
Turn 2079, Prize = Brush 1X
Turn 2080, Prize = Life 30 min
Turn 2081, Prize = Brush 1X
Turn 2082, Prize = Brush 3X
Turn 2083, Prize = Life 30 min
Turn 2084, Prize = Brush 1X
Turn 2085, Prize = Gem 75
Turn 2086, Prize = Hammer 1X
Turn 2087, Prize = Brush 1X
Turn 2088, Prize = Brush 3X
Turn 2089, Prize = Brush 1X
Turn 2090, Prize = Brush 3X
Turn 2091, Prize = Brush 1X
Turn 2092, Prize = Life 30 min
Turn 2093, Prize = Hammer 1X
Turn 2094, Prize = Brush 1X
Turn 2095, Prize = Life 30 min
Turn 2096, Prize = Gem 35
Turn 2097, Prize = Hammer 3X
Turn 2098, Prize = Hammer 1X
Turn 2099, Prize = Brush 1X
Turn 2100, Prize = Brush 1X
Turn 2101, Prize = Life 30 min
Turn 2102, Prize = Gem 35
Turn 2103, Prize = Hammer 1X
Turn 2104, Prize = Hammer 1X
Turn 2105, Prize = Gem 75
Turn 2106, Prize = Hammer 1X
Turn 2107, Prize = Life 30 min
Turn 2108, Prize = Coin 750
Turn 2109, Prize = Life 30 min
Turn 2110, Prize = Life 30 min
Turn 2111, Prize = Brush 1X
Turn 2112, Prize = Hammer 3X
Turn 2113, Prize = Brush 3X
Turn 2114, Prize = Hammer 1X
Turn 2115, Prize = Gem 75
Turn 2116, Prize = Life 30 min
Turn 2117, Prize = Life 30 min
Turn 2118, Prize = Gem 35
Turn 2119, Prize = Gem 75
Turn 2120, Prize = Gem 35
Turn 2121, Prize = Life 30 min
Turn 2122, Prize = Hammer 1X
Turn 2123, Prize = Hammer 3X
Turn 2124, Prize = Life 30 min
Turn 2125, Prize = Hammer 1X
Turn 2126, Prize = Hammer 1X
Turn 2127, Prize = Hammer 1X
Turn 2128, Prize = Life 30 min
Turn 2129, Prize = Life 30 min
Turn 2130, Prize = Gem 75
Turn 2131, Prize = Hammer 1X
Turn 2132, Prize = Life 30 min
Turn 2133, Prize = Brush 3X
Turn 2134, Prize = Brush 3X
Turn 2135, Prize = Brush 1X
Turn 2136, Prize = Brush 1X
Turn 2137, Prize = Gem 75
Turn 2138, Prize = Gem 35
Turn 2139, Prize = Brush 1X
Turn 2140, Prize = Life 30 min
Turn 2141, Prize = Brush 1X
Turn 2142, Prize = Brush 3X
Turn 2143, Prize = Hammer 1X
Turn 2144, Prize = Brush 3X
Turn 2145, Prize = Hammer 3X
Turn 2146, Prize = Gem 35
Turn 2147, Prize = Hammer 3X
Turn 2148, Prize = Hammer 1X
Turn 2149, Prize = Brush 3X
Turn 2150, Prize = Brush 1X
Turn 2151, Prize = Life 30 min
Turn 2152, Prize = Life 30 min
Turn 2153, Prize = Coin 750
Turn 2154, Prize = Brush 1X
Turn 2155, Prize = Hammer 1X
Turn 2156, Prize = Hammer 1X
Turn 2157, Prize = Brush 1X
Turn 2158, Prize = Life 30 min
Turn 2159, Prize = Life 30 min
Turn 2160, Prize = Hammer 1X
Turn 2161, Prize = Coin 750
Turn 2162, Prize = Brush 1X
Turn 2163, Prize = Life 30 min
Turn 2164, Prize = Brush 3X
Turn 2165, Prize = Hammer 1X
Turn 2166, Prize = Gem 35
Turn 2167, Prize = Gem 35
Turn 2168, Prize = Gem 35
Turn 2169, Prize = Brush 3X
Turn 2170, Prize = Hammer 1X
Turn 2171, Prize = Gem 75
Turn 2172, Prize = Hammer 1X
Turn 2173, Prize = Brush 1X
Turn 2174, Prize = Brush 3X
Turn 2175, Prize = Life 30 min
Turn 2176, Prize = Hammer 1X
Turn 2177, Prize = Gem 35
Turn 2178, Prize = Brush 1X
Turn 2179, Prize = Brush 1X
Turn 2180, Prize = Brush 1X
Turn 2181, Prize = Gem 75
Turn 2182, Prize = Brush 3X
Turn 2183, Prize = Brush 1X
Turn 2184, Prize = Brush 3X
Turn 2185, Prize = Brush 3X
Turn 2186, Prize = Coin 750
Turn 2187, Prize = Coin 750
Turn 2188, Prize = Hammer 1X
Turn 2189, Prize = Brush 1X
Turn 2190, Prize = Gem 35
Turn 2191, Prize = Life 30 min
Turn 2192, Prize = Brush 3X
Turn 2193, Prize = Gem 75
Turn 2194, Prize = Brush 1X
Turn 2195, Prize = Hammer 1X
Turn 2196, Prize = Life 30 min
Turn 2197, Prize = Gem 75
Turn 2198, Prize = Life 30 min
Turn 2199, Prize = Hammer 1X
Turn 2200, Prize = Hammer 3X
Turn 2201, Prize = Hammer 3X
Turn 2202, Prize = Coin 750
Turn 2203, Prize = Gem 35
Turn 2204, Prize = Hammer 1X
Turn 2205, Prize = Gem 35
Turn 2206, Prize = Hammer 1X
Turn 2207, Prize = Life 30 min
Turn 2208, Prize = Brush 1X
Turn 2209, Prize = Gem 35
Turn 2210, Prize = Gem 35
Turn 2211, Prize = Brush 3X
Turn 2212, Prize = Brush 1X
Turn 2213, Prize = Gem 35
Turn 2214, Prize = Hammer 1X
Turn 2215, Prize = Life 30 min
Turn 2216, Prize = Brush 1X
Turn 2217, Prize = Hammer 3X
Turn 2218, Prize = Life 30 min
Turn 2219, Prize = Brush 3X
Turn 2220, Prize = Hammer 3X
Turn 2221, Prize = Life 30 min
Turn 2222, Prize = Hammer 1X
Turn 2223, Prize = Life 30 min
Turn 2224, Prize = Life 30 min
Turn 2225, Prize = Brush 1X
Turn 2226, Prize = Brush 1X
Turn 2227, Prize = Life 30 min
Turn 2228, Prize = Brush 3X
Turn 2229, Prize = Hammer 3X
Turn 2230, Prize = Hammer 1X
Turn 2231, Prize = Life 30 min
Turn 2232, Prize = Hammer 3X
Turn 2233, Prize = Life 30 min
Turn 2234, Prize = Life 30 min
Turn 2235, Prize = Life 30 min
Turn 2236, Prize = Gem 35
Turn 2237, Prize = Brush 3X
Turn 2238, Prize = Brush 1X
Turn 2239, Prize = Hammer 1X
Turn 2240, Prize = Gem 35
Turn 2241, Prize = Life 30 min
Turn 2242, Prize = Life 30 min
Turn 2243, Prize = Brush 3X
Turn 2244, Prize = Brush 1X
Turn 2245, Prize = Hammer 1X
Turn 2246, Prize = Brush 3X
Turn 2247, Prize = Brush 1X
Turn 2248, Prize = Life 30 min
Turn 2249, Prize = Hammer 3X
Turn 2250, Prize = Hammer 1X
Turn 2251, Prize = Life 30 min
Turn 2252, Prize = Gem 35
Turn 2253, Prize = Coin 750
Turn 2254, Prize = Hammer 3X
Turn 2255, Prize = Hammer 3X
Turn 2256, Prize = Gem 75
Turn 2257, Prize = Brush 3X
Turn 2258, Prize = Gem 75
Turn 2259, Prize = Hammer 3X
Turn 2260, Prize = Hammer 1X
Turn 2261, Prize = Hammer 1X
Turn 2262, Prize = Life 30 min
Turn 2263, Prize = Hammer 3X
Turn 2264, Prize = Life 30 min
Turn 2265, Prize = Gem 35
Turn 2266, Prize = Brush 1X
Turn 2267, Prize = Hammer 3X
Turn 2268, Prize = Gem 35
Turn 2269, Prize = Gem 35
Turn 2270, Prize = Coin 750
Turn 2271, Prize = Brush 1X
Turn 2272, Prize = Gem 75
Turn 2273, Prize = Life 30 min
Turn 2274, Prize = Coin 750
Turn 2275, Prize = Brush 1X
Turn 2276, Prize = Brush 3X
Turn 2277, Prize = Hammer 3X
Turn 2278, Prize = Life 30 min
Turn 2279, Prize = Hammer 1X
Turn 2280, Prize = Brush 1X
Turn 2281, Prize = Hammer 1X
Turn 2282, Prize = Brush 1X
Turn 2283, Prize = Hammer 3X
Turn 2284, Prize = Hammer 1X
Turn 2285, Prize = Brush 3X
Turn 2286, Prize = Life 30 min
Turn 2287, Prize = Brush 1X
Turn 2288, Prize = Gem 35
Turn 2289, Prize = Hammer 3X
Turn 2290, Prize = Brush 1X
Turn 2291, Prize = Hammer 1X
Turn 2292, Prize = Gem 35
Turn 2293, Prize = Hammer 3X
Turn 2294, Prize = Life 30 min
Turn 2295, Prize = Hammer 3X
Turn 2296, Prize = Hammer 3X
Turn 2297, Prize = Brush 3X
Turn 2298, Prize = Gem 35
Turn 2299, Prize = Brush 1X
Turn 2300, Prize = Life 30 min
Turn 2301, Prize = Hammer 1X
Turn 2302, Prize = Hammer 1X
Turn 2303, Prize = Hammer 1X
Turn 2304, Prize = Brush 1X
Turn 2305, Prize = Brush 1X
Turn 2306, Prize = Life 30 min
Turn 2307, Prize = Coin 750
Turn 2308, Prize = Hammer 3X
Turn 2309, Prize = Gem 35
Turn 2310, Prize = Brush 1X
Turn 2311, Prize = Hammer 1X
Turn 2312, Prize = Hammer 3X
Turn 2313, Prize = Coin 750
Turn 2314, Prize = Brush 1X
Turn 2315, Prize = Life 30 min
Turn 2316, Prize = Brush 1X
Turn 2317, Prize = Hammer 1X
Turn 2318, Prize = Gem 35
Turn 2319, Prize = Hammer 1X
Turn 2320, Prize = Brush 1X
Turn 2321, Prize = Life 30 min
Turn 2322, Prize = Hammer 1X
Turn 2323, Prize = Hammer 1X
Turn 2324, Prize = Brush 1X
Turn 2325, Prize = Brush 1X
Turn 2326, Prize = Brush 1X
Turn 2327, Prize = Hammer 1X
Turn 2328, Prize = Hammer 1X
Turn 2329, Prize = Gem 75
Turn 2330, Prize = Hammer 3X
Turn 2331, Prize = Gem 75
Turn 2332, Prize = Life 30 min
Turn 2333, Prize = Hammer 1X
Turn 2334, Prize = Coin 750
Turn 2335, Prize = Hammer 3X
Turn 2336, Prize = Coin 750
Turn 2337, Prize = Hammer 1X
Turn 2338, Prize = Hammer 3X
Turn 2339, Prize = Brush 1X
Turn 2340, Prize = Brush 1X
Turn 2341, Prize = Life 30 min
Turn 2342, Prize = Hammer 1X
Turn 2343, Prize = Life 30 min
Turn 2344, Prize = Life 30 min
Turn 2345, Prize = Hammer 1X
Turn 2346, Prize = Hammer 1X
Turn 2347, Prize = Brush 3X
Turn 2348, Prize = Life 30 min
Turn 2349, Prize = Hammer 1X
Turn 2350, Prize = Hammer 1X
Turn 2351, Prize = Hammer 3X
Turn 2352, Prize = Brush 3X
Turn 2353, Prize = Gem 35
Turn 2354, Prize = Life 30 min
Turn 2355, Prize = Gem 35
Turn 2356, Prize = Gem 35
Turn 2357, Prize = Coin 750
Turn 2358, Prize = Hammer 1X
Turn 2359, Prize = Hammer 1X
Turn 2360, Prize = Life 30 min
Turn 2361, Prize = Gem 75
Turn 2362, Prize = Hammer 1X
Turn 2363, Prize = Hammer 1X
Turn 2364, Prize = Life 30 min
Turn 2365, Prize = Gem 35
Turn 2366, Prize = Brush 3X
Turn 2367, Prize = Life 30 min
Turn 2368, Prize = Hammer 3X
Turn 2369, Prize = Brush 1X
Turn 2370, Prize = Hammer 1X
Turn 2371, Prize = Brush 3X
Turn 2372, Prize = Life 30 min
Turn 2373, Prize = Coin 750
Turn 2374, Prize = Hammer 3X
Turn 2375, Prize = Brush 3X
Turn 2376, Prize = Hammer 1X
Turn 2377, Prize = Brush 3X
Turn 2378, Prize = Life 30 min
Turn 2379, Prize = Hammer 1X
Turn 2380, Prize = Life 30 min
Turn 2381, Prize = Brush 1X
Turn 2382, Prize = Life 30 min
Turn 2383, Prize = Gem 75
Turn 2384, Prize = Life 30 min
Turn 2385, Prize = Hammer 1X
Turn 2386, Prize = Coin 750
Turn 2387, Prize = Brush 1X
Turn 2388, Prize = Hammer 1X
Turn 2389, Prize = Hammer 1X
Turn 2390, Prize = Brush 3X
Turn 2391, Prize = Hammer 1X
Turn 2392, Prize = Gem 75
Turn 2393, Prize = Hammer 1X
Turn 2394, Prize = Brush 3X
Turn 2395, Prize = Life 30 min
Turn 2396, Prize = Brush 1X
Turn 2397, Prize = Brush 1X
Turn 2398, Prize = Gem 35
Turn 2399, Prize = Hammer 1X
Turn 2400, Prize = Hammer 3X
Turn 2401, Prize = Hammer 3X
Turn 2402, Prize = Brush 3X
Turn 2403, Prize = Gem 35
Turn 2404, Prize = Hammer 1X
Turn 2405, Prize = Brush 1X
Turn 2406, Prize = Life 30 min
Turn 2407, Prize = Gem 35
Turn 2408, Prize = Brush 1X
Turn 2409, Prize = Life 30 min
Turn 2410, Prize = Hammer 1X
Turn 2411, Prize = Hammer 1X
Turn 2412, Prize = Hammer 3X
Turn 2413, Prize = Brush 1X
Turn 2414, Prize = Brush 3X
Turn 2415, Prize = Life 30 min
Turn 2416, Prize = Gem 35
Turn 2417, Prize = Gem 35
Turn 2418, Prize = Brush 1X
Turn 2419, Prize = Gem 35
Turn 2420, Prize = Gem 35
Turn 2421, Prize = Hammer 1X
Turn 2422, Prize = Hammer 1X
Turn 2423, Prize = Brush 1X
Turn 2424, Prize = Hammer 1X
Turn 2425, Prize = Coin 750
Turn 2426, Prize = Life 30 min
Turn 2427, Prize = Life 30 min
Turn 2428, Prize = Hammer 1X
Turn 2429, Prize = Life 30 min
Turn 2430, Prize = Hammer 3X
Turn 2431, Prize = Hammer 3X
Turn 2432, Prize = Life 30 min
Turn 2433, Prize = Life 30 min
Turn 2434, Prize = Hammer 3X
Turn 2435, Prize = Gem 75
Turn 2436, Prize = Life 30 min
Turn 2437, Prize = Hammer 1X
Turn 2438, Prize = Brush 3X
Turn 2439, Prize = Coin 750
Turn 2440, Prize = Hammer 1X
Turn 2441, Prize = Brush 3X
Turn 2442, Prize = Hammer 3X
Turn 2443, Prize = Brush 1X
Turn 2444, Prize = Brush 1X
Turn 2445, Prize = Brush 1X
Turn 2446, Prize = Gem 75
Turn 2447, Prize = Gem 35
Turn 2448, Prize = Brush 3X
Turn 2449, Prize = Life 30 min
Turn 2450, Prize = Hammer 3X
Turn 2451, Prize = Brush 3X
Turn 2452, Prize = Brush 1X
Turn 2453, Prize = Life 30 min
Turn 2454, Prize = Brush 1X
Turn 2455, Prize = Gem 35
Turn 2456, Prize = Brush 3X
Turn 2457, Prize = Life 30 min
Turn 2458, Prize = Brush 1X
Turn 2459, Prize = Hammer 1X
Turn 2460, Prize = Hammer 1X
Turn 2461, Prize = Gem 35
Turn 2462, Prize = Hammer 1X
Turn 2463, Prize = Hammer 1X
Turn 2464, Prize = Brush 1X
Turn 2465, Prize = Life 30 min
Turn 2466, Prize = Brush 1X
Turn 2467, Prize = Brush 1X
Turn 2468, Prize = Brush 3X
Turn 2469, Prize = Brush 1X
Turn 2470, Prize = Hammer 3X
Turn 2471, Prize = Brush 1X
Turn 2472, Prize = Hammer 1X
Turn 2473, Prize = Hammer 1X
Turn 2474, Prize = Life 30 min
Turn 2475, Prize = Gem 35
Turn 2476, Prize = Gem 75
Turn 2477, Prize = Hammer 3X
Turn 2478, Prize = Life 30 min
Turn 2479, Prize = Life 30 min
Turn 2480, Prize = Life 30 min
Turn 2481, Prize = Brush 3X
Turn 2482, Prize = Gem 35
Turn 2483, Prize = Hammer 3X
Turn 2484, Prize = Gem 35
Turn 2485, Prize = Life 30 min
Turn 2486, Prize = Coin 750
Turn 2487, Prize = Gem 35
Turn 2488, Prize = Life 30 min
Turn 2489, Prize = Brush 1X
Turn 2490, Prize = Hammer 1X
Turn 2491, Prize = Life 30 min
Turn 2492, Prize = Life 30 min
Turn 2493, Prize = Hammer 1X
Turn 2494, Prize = Coin 750
Turn 2495, Prize = Brush 1X
Turn 2496, Prize = Life 30 min
Turn 2497, Prize = Brush 1X
Turn 2498, Prize = Brush 3X
Turn 2499, Prize = Coin 750
Turn 2500, Prize = Life 30 min
Turn 2501, Prize = Life 30 min
Turn 2502, Prize = Hammer 1X
Turn 2503, Prize = Life 30 min
Turn 2504, Prize = Hammer 1X
Turn 2505, Prize = Coin 750
Turn 2506, Prize = Brush 1X
Turn 2507, Prize = Gem 75
Turn 2508, Prize = Gem 75
Turn 2509, Prize = Hammer 3X
Turn 2510, Prize = Brush 1X
Turn 2511, Prize = Hammer 1X
Turn 2512, Prize = Brush 1X
Turn 2513, Prize = Life 30 min
Turn 2514, Prize = Hammer 1X
Turn 2515, Prize = Brush 3X
Turn 2516, Prize = Gem 75
Turn 2517, Prize = Life 30 min
Turn 2518, Prize = Brush 1X
Turn 2519, Prize = Hammer 3X
Turn 2520, Prize = Brush 1X
Turn 2521, Prize = Coin 750
Turn 2522, Prize = Brush 3X
Turn 2523, Prize = Brush 3X
Turn 2524, Prize = Hammer 3X
Turn 2525, Prize = Hammer 1X
Turn 2526, Prize = Hammer 1X
Turn 2527, Prize = Gem 35
Turn 2528, Prize = Hammer 1X
Turn 2529, Prize = Hammer 1X
Turn 2530, Prize = Brush 1X
Turn 2531, Prize = Coin 750
Turn 2532, Prize = Brush 1X
Turn 2533, Prize = Brush 3X
Turn 2534, Prize = Gem 35
Turn 2535, Prize = Gem 35
Turn 2536, Prize = Brush 1X
Turn 2537, Prize = Hammer 1X
Turn 2538, Prize = Brush 1X
Turn 2539, Prize = Brush 1X
Turn 2540, Prize = Brush 1X
Turn 2541, Prize = Gem 35
Turn 2542, Prize = Coin 750
Turn 2543, Prize = Brush 1X
Turn 2544, Prize = Brush 3X
Turn 2545, Prize = Coin 750
Turn 2546, Prize = Coin 750
Turn 2547, Prize = Brush 1X
Turn 2548, Prize = Brush 1X
